SCH_YEAR,SCH_CD,DIST_NAME,SCH_NAME,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,ENROLLMENT_TOTAL,ENROLLMENT_MALE_CNT,ENROLLMENT_MALE_PCT,ENROLLMENT_FEMALE_CNT,ENROLLMENT_FEMALE_PCT,ENROLLMENT_WHITE_CNT,ENROLLMENT_WHITE_PCT,ENROLLMENT_BLACK_CNT,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC_CNT,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_ASIAN_CNT,ENROLLMENT_ASIAN_PCT,ENROLLMENT_AIAN_CNT,ENROLLMENT_AIAN_PCT,ENROLLMENT_HAWAIIAN_CNT,ENROLLMENT_HAWAIIAN_PCT,ENROLLMENT_OTHER_CNT,ENROLLMENT_OTHER_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS
20122013,165042,Fayette County,Martin Luther King Credit Recovery,21378,44.37,116,48,41.4%,68,58.6%,88,75.9%,18,15.5%,7,6.0%,0,0.0%,0,0.0%,0,0.0%,3,2.6%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,0,0.0%,17.5,50.0%,50.0%,0.0%,0.0%,0.0%,100.0%,0.0%,.2:1,76.4%,116,0,2,2012
20122013,165180,Fayette County,Mary Todd Elementary School,10498,400.81,422,211,50.0%,211,50.0%,153,36.3%,160,37.9%,84,19.9%,3,0.7%,1,0.2%,0,0.0%,21,5.0%,359,85.1%,15,3.6%,95.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:1,37.10,3.00,34.10,2,0.0%,11.1,31.0%,62.1%,3.4%,0.0%,3.4%,100.0%,0.0%,2.1:1,80.1%,421,126,2,2242
20122013,165074,Fayette County,Maxwell Spanish Immersion Elem School,7013,511.88,526,249,47.3%,277,52.7%,282,53.6%,88,16.7%,104,19.8%,18,3.4%,1,0.2%,0,0.0%,33,6.3%,98,18.6%,26,4.9%,96.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,35.95,5.20,30.75,4,0.0%,10.7,30.0%,50.0%,20.0%,0.0%,0.0%,100.0%,0.0%,2.7:1,100%,500,64,15,1472
20122013,165160,Fayette County,Meadowthorpe Elementary School,6967,517.17,530,264,49.8%,266,50.2%,293,55.3%,108,20.4%,63,11.9%,33,6.2%,1,0.2%,0,0.0%,32,6.0%,192,36.2%,28,5.3%,96.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,36.20,4.20,32.00,3,0.0%,10.3,20.6%,50.0%,29.4%,0.0%,0.0%,100.0%,0.0%,2.8:1,93.6%,520,2,2,1330
20122013,165255,Fayette County,Millcreek Elementary School,11245,402.72,428,215,50.2%,213,49.8%,193,45.1%,158,36.9%,35,8.2%,5,1.2%,0,0.0%,1,0.2%,36,8.4%,297,69.4%,31,7.2%,94.9%,0.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:1,38.70,3.20,35.50,5,0.0%,7,45.5%,39.4%,15.2%,0.0%,0.0%,100.0%,0.0%,1.4:1,70.7%,390,28,2,685
20122013,165076,Fayette County,Morton Middle School,7263,728.33,764,385,50.4%,379,49.6%,509,66.6%,126,16.5%,60,7.9%,42,5.5%,2,0.3%,1,0.1%,24,3.1%,275,36.0%,39,5.1%,95.3%,0.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,55.60,14.80,40.80,0,0.0%,13.9,18.6%,50.8%,30.5%,0.0%,0.0%,100.0%,0.0%,1.7:1,45.2%,302,34,31,2002
20122013,165077,Fayette County,Northern Elementary School,9345,464.16,484,242,50.0%,242,50.0%,157,32.4%,191,39.5%,121,25.0%,2,0.4%,1,0.2%,0,0.0%,12,2.5%,370,76.4%,38,7.9%,95.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,37.98,3.00,34.98,1,0.0%,9.1,7.4%,77.8%,14.8%,0.0%,0.0%,100.0%,0.0%,4:1,55.7%,432,9,2,100
20122013,165899,Fayette County,Opportunity Middle College,8135,37.57,100,19,19.0%,81,81.0%,39,39.0%,39,39.0%,18,18.0%,3,3.0%,0,0.0%,0,0.0%,1,1.0%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38:1,2.60,0.40,2.20,0,0.0%,2,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0:1,0%,75,0,0,0
20122013,165200,Fayette County,Paul Laurence Dunbar High School,5860,2007.12,2105,1075,51.1%,"1,030",48.9%,"1,231",58.5%,359,17.1%,287,13.6%,170,8.1%,2,0.1%,0,0.0%,56,2.7%,747,35.5%,99,4.7%,93.3%,5.5%,2.4%,83.5%,357,69.3%,281,54.6%,76,14.8%,29,5.6%,83,16.1%,8,1.6%,30,5.8%,8,1.6%,18:1,116.30,43.60,72.70,8,0.0%,13.5,9.3%,63.6%,25.7%,0.0%,1.4%,100.0%,0.7%,2.1:1,76.8%,958,32,18,13500
20122013,165080,Fayette County,Picadome Elementary School,9843,437.18,467,251,53.7%,216,46.3%,330,70.7%,49,10.5%,32,6.9%,27,5.8%,1,0.2%,1,0.2%,27,5.8%,180,38.5%,20,4.3%,95.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:1,40.00,2.70,37.30,5,0.0%,11.4,19.4%,64.5%,16.1%,0.0%,0.0%,100.0%,0.0%,1.6:1,96.1%,450,26,7,1850
20122013,165052,Fayette County,Rosa Parks Elementary School,7231,739.19,765,403,52.7%,362,47.3%,536,70.1%,22,2.9%,18,2.4%,157,20.5%,2,0.3%,0,0.0%,30,3.9%,42,5.5%,14,1.8%,97.1%,0.8%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,46.80,4.00,42.80,11,0.0%,15.3,9.5%,50.0%,40.5%,0.0%,0.0%,100.0%,0.0%,1.6:1,0%,765,163,17,4600
20122013,165090,Fayette County,Russell Cave Elementary School,11541,282.18,292,158,54.1%,134,45.9%,26,8.9%,24,8.2%,231,79.1%,0,0.0%,0,0.0%,0,0.0%,11,3.8%,268,91.8%,14,4.8%,96.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,29.90,3.00,26.90,1,0.0%,8.4,31.3%,43.8%,18.8%,6.3%,0.0%,100.0%,0.0%,2.4:1,100%,301,101,2,118
20122013,165058,Fayette County,Sandersville Elementary,6794,683.9,704,351,49.9%,353,50.1%,357,50.7%,222,31.5%,63,8.9%,17,2.4%,3,0.4%,0,0.0%,42,6.0%,265,37.6%,54,7.7%,96.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,45.10,7.30,37.80,6,0.0%,8.8,34.2%,50.0%,13.2%,2.6%,0.0%,100.0%,0.0%,1.8:1,65.9%,650,20,10,550
20122013,165018,Fayette County,Scapa At Bluegrass,9237,265.92,275,72,26.2%,203,73.8%,229,83.3%,13,4.7%,7,2.5%,16,5.8%,0,0.0%,0,0.0%,10,3.6%,25,9.1%,13,4.7%,96.4%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,26.30,4.80,21.50,1,6.3%,11.5,17.1%,60.0%,22.9%,0.0%,0.0%,100.0%,20.0%,.9:1,57.8%,225,91,4,4258
20122013,165081,Fayette County,Southern Elementary School,7896,629.94,655,336,51.3%,319,48.7%,343,52.4%,166,25.3%,77,11.8%,20,3.1%,1,0.2%,2,0.3%,46,7.0%,400,61.1%,27,4.1%,95.3%,0.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,47.90,2.20,45.70,4,0.0%,10,31.4%,54.3%,14.3%,0.0%,0.0%,100.0%,0.0%,4.1:1,35.1%,665,63,2,900
20122013,165525,Fayette County,Southern Middle School,7773,643.28,665,331,49.8%,334,50.2%,406,61.1%,143,21.5%,72,10.8%,17,2.6%,1,0.2%,0,0.0%,26,3.9%,314,47.2%,48,7.2%,95.1%,1.2%,0.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,50.40,12.60,37.80,3,0.0%,12.4,17.0%,50.9%,32.1%,0.0%,0.0%,100.0%,0.0%,2.4:1,84.8%,263,14,7,967
20122013,165904,Fayette County,Southside Technical Center,,,603,296,49.1%,307,50.9%,387,64.2%,141,23.4%,62,10.3%,4,0.7%,0,0.0%,0,0.0%,9,1.5%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,15.00,9.00,6.00,1,0.0%,18.5,11.1%,22.2%,66.7%,0.0%,0.0%,100.0%,0.0%,0:1,0%,,,,
20122013,165082,Fayette County,Squires Elementary School,8388,568.22,580,309,53.3%,271,46.7%,399,68.8%,91,15.7%,44,7.6%,6,1.0%,3,0.5%,0,0.0%,37,6.4%,269,46.4%,34,5.9%,95.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,42.10,3.00,39.10,5,0.0%,11.5,27.3%,51.5%,21.2%,0.0%,0.0%,100.0%,0.0%,1.7:1,85.1%,520,38,9,95
20122013,165085,Fayette County,Stonewall Elementary School,7374,625.39,649,306,47.1%,343,52.9%,539,83.1%,28,4.3%,26,4.0%,30,4.6%,0,0.0%,0,0.0%,26,4.0%,103,15.9%,22,3.4%,96.5%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,42.30,3.00,39.30,1,0.0%,13.9,26.7%,53.3%,20.0%,0.0%,0.0%,100.0%,0.0%,1:1,9.1%,629,0,2,5220
20122013,165095,Fayette County,Tates Creek Elementary School,8015,599.17,619,312,50.4%,307,49.6%,279,45.1%,222,35.9%,58,9.4%,16,2.6%,0,0.0%,0,0.0%,44,7.1%,424,68.5%,30,4.8%,95.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,41.40,3.00,38.40,5,0.0%,10.8,25.0%,50.0%,25.0%,0.0%,0.0%,100.0%,0.0%,2.3:1,57%,547,60,3,4500
20122013,165105,Fayette County,Tates Creek High School,6264,1651.03,1752,878,50.1%,874,49.9%,"1,143",65.2%,402,22.9%,108,6.2%,45,2.6%,3,0.2%,3,0.2%,48,2.7%,650,37.1%,92,5.3%,92.7%,9.5%,3.0%,79.2%,290,72.9%,259,65.1%,31,7.8%,14,3.5%,60,15.1%,21,5.3%,9,2.3%,4,1.0%,17:1,100.40,35.00,65.40,7,0.0%,12.5,8.9%,60.2%,30.1%,0.0%,0.8%,100.0%,0.7%,5.5:1,70%,721,20,4,14500
20122013,165100,Fayette County,Tates Creek Middle School,7082,840.27,867,469,54.1%,398,45.9%,537,61.9%,220,25.4%,41,4.7%,33,3.8%,3,0.3%,0,0.0%,33,3.8%,379,43.7%,55,6.3%,94.3%,1.9%,0.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,62.50,18.90,43.60,0,7.0%,10,22.4%,52.2%,25.4%,0.0%,0.0%,100.0%,0.0%,4:1,68.4%,266,75,6,3659
20122013,165054,Fayette County,The Stables,11352,22.75,31,26,83.9%,5,16.1%,21,67.7%,7,22.6%,2,6.5%,0,0.0%,0,0.0%,0,0.0%,1,3.2%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:1,6.20,2.00,4.20,0,0.0%,18.6,0.0%,40.0%,60.0%,0.0%,0.0%,100.0%,0.0%,.5:1,88.9%,52,,,87
20122013,165012,Fayette County,Veterans Park Elementary School,7717,632.14,655,333,50.8%,322,49.2%,533,81.4%,45,6.9%,21,3.2%,48,7.3%,0,0.0%,0,0.0%,8,1.2%,68,10.4%,22,3.4%,96.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,44.11,1.50,42.61,5,0.0%,14.7,7.7%,69.2%,23.1%,0.0%,0.0%,100.0%,0.0%,1.8:1,96.8%,655,26,8,4250
20122013,165059,Fayette County,Wellington Elementary,8412,565.6,584,301,51.5%,283,48.5%,441,75.5%,38,6.5%,30,5.1%,60,10.3%,0,0.0%,0,0.0%,15,2.6%,160,27.4%,33,5.7%,96.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,45.00,2.40,42.60,1,0.0%,6.4,34.3%,57.1%,8.6%,0.0%,0.0%,100.0%,0.0%,2.4:1,100%,560,58,5,2336
20122013,165056,Fayette County,William Wells Brown Elementary,11823,325.92,392,211,53.8%,181,46.2%,69,17.6%,257,65.6%,48,12.2%,0,0.0%,0,0.0%,0,0.0%,18,4.6%,365,93.1%,12,3.1%,95.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:1,34.50,1.00,33.50,2,0.0%,8,34.8%,56.5%,8.7%,0.0%,0.0%,100.0%,0.0%,1.3:1,77.6%,315,20,2,231
20122013,165245,Fayette County,Winburn Middle School,7293,607.34,619,323,52.2%,296,47.8%,235,38.0%,195,31.5%,114,18.4%,50,8.1%,0,0.0%,0,0.0%,25,4.0%,404,65.3%,31,5.0%,94.9%,1.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:1,53.00,7.80,45.20,4,0.0%,9.9,22.0%,58.0%,20.0%,0.0%,0.0%,100.0%,2.0%,1.3:1,68%,601,27,4,493
20122013,165140,Fayette County,Yates Elementary School,8806,449.11,476,262,55.0%,214,45.0%,222,46.6%,144,30.3%,68,14.3%,12,2.5%,2,0.4%,0,0.0%,28,5.9%,309,64.9%,32,6.7%,95.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:1,39.70,3.20,36.50,4,0.0%,6.2,34.6%,61.5%,3.8%,0.0%,0.0%,100.0%,0.0%,2.2:1,89.7%,385,18,4,3220
20122013,165,Fayette County,---District---,12807,36117.82,37957,19363,51.0%,"18,594",49.0%,"21,440",56.5%,"8,583",22.6%,"4,776",12.6%,"1,588",4.2%,62,0.2%,23,0.1%,"1,485",3.9%,"16,976",44.7%,"1,899",5.0%,94.8%,3.6%,2.0%,75.9%,"1,538",67.3%,"1,271",55.6%,267,11.7%,135,5.9%,405,17.7%,65,2.8%,101,4.4%,42,1.8%,13:1,2816.93,541.30,"2,275.63",189,0.4%,11.2,20.7%,55.9%,22.3%,0.2%,1.0%,100.0%,0.8%,2.1:1,67%,27470,2349,396,167824
20122013,171050,Fleming County,E P Ward Elementary School,7058,201.84,210,98,46.7%,112,53.3%,201,95.7%,0,0.0%,8,3.8%,0,0.0%,0,0.0%,0,0.0%,1,0.5%,144,68.6%,20,9.5%,95.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,14.02,0.91,13.11,0,0.0%,13,0.0%,76.5%,23.5%,0.0%,0.0%,100.0%,0.0%,3:1,47.8%,135,15,2,950
20122013,171020,Fleming County,Ewing Elementary School,8560,194.8,204,105,51.5%,99,48.5%,202,99.0%,2,1.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,126,61.8%,13,6.4%,95.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,14.02,2.91,11.11,1,0.0%,13.6,11.8%,58.8%,23.5%,5.9%,0.0%,100.0%,0.0%,2.8:1,49.3%,70,19,2,0
20122013,171035,Fleming County,Fleming County High School,8153,637.4,673,350,52.0%,323,48.0%,643,95.5%,14,2.1%,6,0.9%,3,0.4%,2,0.3%,0,0.0%,5,0.7%,298,44.3%,60,8.9%,92.8%,7.2%,0.1%,80.7%,67,42.4%,66,41.8%,1,0.6%,10,6.3%,40,25.3%,31,19.6%,6,3.8%,4,2.5%,12:1,58.54,20.24,38.30,2,0.0%,11.5,10.5%,52.6%,35.1%,0.0%,1.8%,100.0%,1.6%,2.3:1,39.8%,420,12,9,700
20122013,171040,Fleming County,Flemingsburg Elementary School,8153,607.35,640,334,52.2%,306,47.8%,585,91.4%,8,1.3%,19,3.0%,7,1.1%,0,0.0%,0,0.0%,21,3.3%,357,55.8%,41,6.4%,96.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,37.36,5.25,32.11,6,0.0%,13.6,8.6%,51.4%,37.1%,2.9%,0.0%,100.0%,0.0%,4.3:1,41.4%,264,21,2,1558
20122013,171060,Fleming County,Hillsboro Elementary School,9589,156.89,168,76,45.2%,92,54.8%,162,96.4%,2,1.2%,3,1.8%,0,0.0%,0,0.0%,0,0.0%,1,0.6%,92,54.8%,27,16.1%,96.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:1,14.00,0.91,13.09,0,0.0%,12.3,6.7%,80.0%,13.3%,0.0%,0.0%,100.0%,0.0%,2.2:1,37.5%,160,3,2,1054
20122013,171030,Fleming County,Simons Middle School,6758,361.39,383,188,49.1%,195,50.9%,365,95.3%,9,2.3%,3,0.8%,2,0.5%,0,0.0%,0,0.0%,4,1.0%,218,56.9%,29,7.6%,94.6%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,22.17,6.00,16.17,1,0.0%,9.6,17.2%,41.4%,41.4%,0.0%,0.0%,100.0%,3.4%,2.6:1,35.7%,109,8,2,3500
20122013,171,Fleming County,---District---,9516,2159.67,2278,1151,50.5%,"1,127",49.5%,"2,158",94.7%,35,1.5%,39,1.7%,12,0.5%,2,0.1%,0,0.0%,32,1.4%,"1,235",54.2%,190,8.3%,94.7%,3.1%,0.1%,80.7%,67,42.4%,66,41.8%,1,0.6%,10,6.3%,40,25.3%,31,19.6%,6,3.8%,4,2.5%,14:1,161.22,36.22,125.00,10,0.0%,12,10.0%,55.9%,32.4%,1.2%,0.6%,100.0%,1.1%,2.8:1,40.7%,1158,81,19,7762
20122013,175025,Floyd County,Allen Central High School,9017,387.91,411,241,58.6%,170,41.4%,411,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,257,62.5%,47,11.4%,94.2%,0.3%,1.0%,82.3%,51,53.1%,51,53.1%,0,0.0%,2,2.1%,28,29.2%,2,2.1%,10,10.4%,3,3.1%,14:1,29.77,14.42,15.35,1,0.0%,12.7,11.4%,54.3%,34.3%,0.0%,0.0%,100.0%,2.4%,1.8:1,100%,400,71,2,5000
20122013,175022,Floyd County,Allen Central Middle School,7616,271.36,280,153,54.6%,127,45.4%,276,98.6%,4,1.4%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,186,66.4%,21,7.5%,95.5%,1.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,18.85,6.00,12.85,2,0.0%,15.9,10.0%,40.0%,45.0%,5.0%,0.0%,100.0%,0.0%,4.4:1,8.1%,170,10,2,700
20122013,175020,Floyd County,Allen Elementary School,8023,481.89,515,279,54.2%,236,45.8%,505,98.1%,4,0.8%,4,0.8%,1,0.2%,0,0.0%,0,0.0%,1,0.2%,324,62.9%,41,8.0%,95.5%,0.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,33.35,4.00,29.35,0,0.0%,13,28.1%,56.3%,15.6%,0.0%,0.0%,100.0%,0.0%,3.7:1,64.6%,345,32,2,3200
20122013,175120,Floyd County,Betsy Layne Elementary School,8236,598.67,634,325,51.3%,309,48.7%,624,98.4%,1,0.2%,2,0.3%,1,0.2%,0,0.0%,0,0.0%,6,0.9%,460,72.6%,42,6.6%,95.4%,1.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,40.85,5.00,35.85,0,6.9%,13.9,19.5%,51.2%,29.3%,0.0%,0.0%,100.0%,0.0%,4:1,84%,564,54,2,1887
20122013,175110,Floyd County,Betsy Layne High School,8195,419.74,437,222,50.8%,215,49.2%,435,99.5%,1,0.2%,0,0.0%,1,0.2%,0,0.0%,0,0.0%,0,0.0%,282,64.5%,42,9.6%,94.7%,0.0%,1.6%,87.7%,45,49.5%,45,49.5%,0,0.0%,4,4.4%,37,40.7%,1,1.1%,1,1.1%,3,3.3%,16:1,26.94,10.09,16.85,0,2.4%,10.5,24.3%,45.9%,27.0%,2.7%,0.0%,100.0%,2.4%,1.1:1,65.2%,326,3,2,2135
20122013,175450,Floyd County,James A. Duff Elementary School,9706,314.48,323,170,52.6%,153,47.4%,322,99.7%,0,0.0%,1,0.3%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,228,70.6%,32,9.9%,96.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,21.85,3.00,18.85,0,0.0%,12.2,14.3%,71.4%,14.3%,0.0%,0.0%,100.0%,0.0%,4.2:1,100%,129,6,2,392
20122013,175440,Floyd County,James D. Adams Middle School,7018,345.33,367,196,53.4%,171,46.6%,360,98.1%,2,0.5%,1,0.3%,1,0.3%,0,0.0%,0,0.0%,3,0.8%,206,56.1%,22,6.0%,94.8%,0.6%,0.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,20.35,6.50,13.85,0,0.0%,11.2,16.7%,77.8%,5.6%,0.0%,0.0%,100.0%,0.0%,2.7:1,39.5%,148,20,2,2500
20122013,175485,Floyd County,John M. Stumbo Elementary School,9849,321.93,332,163,49.1%,169,50.9%,332,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,252,75.9%,39,11.7%,96.5%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,25.35,4.00,21.35,1,0.0%,11.5,8.0%,60.0%,32.0%,0.0%,0.0%,100.0%,0.0%,2.3:1,11.7%,249,52,9,4170
20122013,175021,Floyd County,May Valley Elementary School,9810,343.07,356,165,46.3%,191,53.7%,355,99.7%,1,0.3%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,225,63.2%,15,4.2%,96.1%,3.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,28.35,,28.35,1,1.4%,15.6,3.7%,55.6%,40.7%,0.0%,0.0%,100.0%,0.0%,3.6:1,4.2%,356,61,2,4410
20122013,175640,Floyd County,McDowell Elementary School,10539,289.04,305,167,54.8%,138,45.2%,301,98.7%,1,0.3%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,1.0%,241,79.0%,19,6.2%,95.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,21.85,1.00,20.85,1,1.4%,14.8,12.0%,52.0%,36.0%,0.0%,0.0%,100.0%,0.0%,2.2:1,46.2%,125,51,6,215
20122013,175019,Floyd County,Prestonsburg Elementary School,7879,702.09,730,406,55.6%,324,44.4%,713,97.7%,0,0.0%,7,1.0%,2,0.3%,0,0.0%,0,0.0%,8,1.1%,398,54.5%,48,6.6%,95.4%,0.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,45.35,3.00,42.35,3,0.0%,13.7,22.9%,58.3%,16.7%,2.1%,0.0%,100.0%,0.0%,5.2:1,21.6%,702,47,53,2912
